FC,Significance,GeneNames,Color
-4.28992931837476,3.03344996150594,Nfib,#01513b
3.59568295357249,3.70655771908095,,#f0e442
-3.77018065766807,3.52306611638142,Zeb2,#01513b
2.71435869807847,4.54810643427925,,#f0e442
-2.38241060924547,4.86253949337761,Plxna4,#01513b
-3.77422720097561,3.36698726400368,Sertm1,#01513b
5.04951017477584,2.07563138968954,,#f0e442
3.96781945094426,3.07842498085465,,#f0e442
-3.87237802515252,3.12925887790838,Dgkg,#01513b
2.93401305880011,4.06639426801273,,#f0e442
-2.6474181945675,4.31533756837169,Slc30a3,#01513b
-2.82961604818249,4.0746076051625,,#01513b
-3.5833619473631,3.3192865519684,,#01513b
1.64335897136492,5.2277958886116,,#f0e442
3.33087783825932,3.5120896533147,,#f0e442
3.46786606255073,3.37142208621511,,#f0e442
-2.76255880306228,4.02638333866921,,#01513b
-3.57080836068059,3.18932145898077,,#01513b
3.14106133780938,3.61015827414023,,#f0e442
3.72114157987574,2.99769602118619,,#f0e442
2.83168492078413,3.86640081253178,,#f0e442
-3.05603485527265,3.60700957489823,,#01513b
2.75116669464302,3.89372959126466,,#f0e442
-3.79724108245216,2.81394813875821,,#01513b
-2.52459714467613,4.03086470961565,,#01513b
-3.77862703356056,2.76111763168098,,#01513b
-2.23587218419094,4.26547475810568,,#01513b
2.30113258286967,4.176478608166,,#f0e442
3.22888232125321,3.22997898190106,,#f0e442
3.83247522227172,2.60708780620597,,#f0e442
-3.53808863117236,2.88611938571391,,#01513b
-3.02395815003582,3.37536877486685,,#01513b
-3.13722642744396,3.21554521679544,,#01513b
-3.63779331067504,2.70192850542209,,#01513b
-3.43768077267823,2.89994231327434,,#01513b
1.85129220020926,4.4828797803832,,#f0e442
-3.2727309031014,3.0449624851578,,#01513b
-3.40083088815968,2.91132283999471,,#01513b
-3.17479977325872,3.13347154038763,,#01513b
-2.61656175223591,3.69053719394381,,#01513b
-2.10674874105166,4.19702593465919,,#01513b
-3.29737703475889,3.00521394254176,,#01513b
3.43453413255849,2.85909145747371,,#f0e442
1.38513510620405,4.88830780643465,,#f0e442
2.16854872454004,4.08339641618791,,#f0e442
3.33572489169399,2.89104593163583,,#f0e442
-2.95808597838448,3.26071363698134,,#01513b
-2.29505917606584,3.90091710646809,,#01513b
3.19684502373554,2.99589963856395,,#f0e442
-4.03092987594402,2.12846387240563,,#01513b
2.87128693386087,3.27200145501701,,#f0e442
2.1915311757792,3.93842407771976,,#f0e442
-2.99389714719569,3.10785772622307,,#01513b
-2.7495003521192,3.34278080321296,,#01513b
-3.07549951122951,3.01484405297704,,#01513b
-2.46624789731273,3.59229173068583,,#01513b
2.95481926439439,3.0808232260421,,#f0e442
-3.10224181578075,2.92374121812743,,#01513b
-3.15015364160123,2.86596754283914,,#01513b
3.08668165427195,2.92538281026629,,#f0e442
3.7818075244567,2.2209406442108,,#f0e442
2.45390546023692,3.54578996681398,,#f0e442
-2.97987579400684,2.98223783315922,,#01513b
-1.86754149569389,4.09099957244541,,#01513b
-3.97263140011391,1.9736290562057,,#01513b
-2.66683381173411,3.24842818961555,,#01513b
1.10785372656159,4.79190545215417,,#f0e442
-2.57512953496359,3.30640284950764,,#01513b
2.80312854403402,3.0772882341873,,#f0e442
3.21556335169177,2.6478413781094,,#f0e442
-2.88540184242884,2.97787479260696,,#01513b
2.09739181581923,3.76180655523921,,#f0e442
-3.80179996690702,2.04069682816849,,#01513b
2.36267824355915,3.46459616275054,,#f0e442
2.60833344161455,3.21491233161057,,#f0e442
2.49699979921857,3.31811753664965,,#f0e442
2.05635710092279,3.75061659347,,#f0e442
2.13182435636232,3.65839381942767,,#f0e442
-2.91006058582667,2.87823845384317,,#01513b
3.62339048145919,2.16116324804375,,#f0e442
2.75257288672551,3.01510563784062,,#f0e442
-2.64071455778103,3.11290056817691,,#01513b
-1.99645669408157,3.75597097459818,,#01513b
2.53303698846215,3.21484095382357,,#f0e442
-3.76506532062981,1.96794946553826,,#01513b
2.68969183759721,3.0367831688075,,#f0e442
-2.79242552606658,2.91452389466219,,#01513b
3.08042879010659,2.61198640196183,,#f0e442
-2.43572286785183,3.24923390729733,,#01513b
3.0071713714515,2.67759313344262,,#f0e442
-2.8566741602324,2.82708320542598,,#01513b
