Sample_ID,Cell_type,Proportion,X_position,Y_position,type,Order
D5761.(3).|.049.|.NeuN+,Microglia,0.110277609,5038,19845,Cortical layer II/III - NeuN+,B
D5761.(3).|.049.|.NeuN+,Astrocyte,0.02279178,5038,19845,Cortical layer II/III - NeuN+,C
D5761.(3).|.049.|.NeuN+,Polydendrocyte,0,5038,19845,Cortical layer II/III - NeuN+,D
D5761.(3).|.049.|.NeuN+,Macrophage,0.052585163,5038,19845,Cortical layer II/III - NeuN+,E
D5761.(3).|.049.|.NeuN+,Endothelial Tip,0.008868111,5038,19845,Cortical layer II/III - NeuN+,F
D5761.(3).|.049.|.NeuN+,Endothelial Stalk,0.008743189,5038,19845,Cortical layer II/III - NeuN+,G
D5761.(3).|.049.|.NeuN+,Choroid Plexus,0,5038,19845,Cortical layer II/III - NeuN+,H
D5761.(3).|.049.|.NeuN+,Oligodendrocyte,0,5038,19845,Cortical layer II/III - NeuN+,I
D5761.(3).|.049.|.NeuN+,Ependymal,0.010001764,5038,19845,Cortical layer II/III - NeuN+,J
D5761.(3).|.049.|.NeuN+,Mural,0,5038,19845,Cortical layer II/III - NeuN+,K
D5761.(3).|.059.|.NeuN+,Neuron,0.765187911,7386,21866,Cortical layer II/III - NeuN+,A
D5761.(3).|.059.|.NeuN+,Microglia,0.078488162,7386,21866,Cortical layer II/III - NeuN+,B
D5761.(3).|.059.|.NeuN+,Astrocyte,0.035552305,7386,21866,Cortical layer II/III - NeuN+,C
D5761.(3).|.059.|.NeuN+,Polydendrocyte,0,7386,21866,Cortical layer II/III - NeuN+,D
D5761.(3).|.059.|.NeuN+,Macrophage,0.019877873,7386,21866,Cortical layer II/III - NeuN+,E
D5761.(3).|.059.|.NeuN+,Endothelial Tip,0.052101309,7386,21866,Cortical layer II/III - NeuN+,F
D5761.(3).|.059.|.NeuN+,Endothelial Stalk,0.01775446,7386,21866,Cortical layer II/III - NeuN+,G
D5761.(3).|.059.|.NeuN+,Choroid Plexus,0,7386,21866,Cortical layer II/III - NeuN+,H
D5761.(3).|.059.|.NeuN+,Oligodendrocyte,0,7386,21866,Cortical layer II/III - NeuN+,I
D5761.(3).|.059.|.NeuN+,Ependymal,0.01388028,7386,21866,Cortical layer II/III - NeuN+,J
D5761.(3).|.059.|.NeuN+,Mural,0.0171577,7386,21866,Cortical layer II/III - NeuN+,K
