FC,Significance,GeneNames,Color
2.56024657148347,2.59346722093166,,#5D3a9B
3.0815867447883,2.07026162193154,,#5D3a9B
-2.63958374081387,2.50513018945581,,#FFC20A
2.95541620370372,2.18619698169248,,#5D3a9B
-2.57804298066556,2.5563290174767,,#FFC20A
-2.35733286025102,2.77627059416816,,#FFC20A
2.70472537485159,2.42114397799685,,#5D3a9B
-1.506229760434,3.61598138390117,,#FFC20A
2.07538151873252,3.0412961528788,,#5D3a9B
2.58890431252009,2.5263535502875,,#5D3a9B
-1.31272670127033,3.79933639064793,,#FFC20A
2.66791737828704,2.44342401118121,,#5D3a9B
-3.42359862855902,1.68663923423975,,#FFC20A
-2.88395115128941,2.22490705591539,,#FFC20A
-1.56642050898127,3.54146572656262,,#FFC20A
-2.34251743026794,2.76380787645437,,#FFC20A
-2.77995000096154,2.3112134808724,,#FFC20A
2.35660571938532,2.73125204686504,,#5D3a9B
2.5728971408991,2.51073156454541,,#5D3a9B
-2.13565473291439,2.94312775464938,,#FFC20A
-2.44004601432499,2.6364796506358,,#FFC20A
1.80148590653332,3.27432187204564,,#5D3a9B
2.62208287037039,2.43645783703416,,#5D3a9B
1.81775588807812,3.23835299790154,,#5D3a9B
2.74773935651883,2.30601038263397,,#5D3a9B
2.09376203679667,2.95626959977717,,#5D3a9B
1.20710191625016,3.83296654827454,,#5D3a9B
-1.31584419336862,3.72133883460079,,#FFC20A
2.39605890199951,2.63339461095044,,#5D3a9B
-1.7751561508642,3.2513505660633,,#FFC20A
1.62208287037039,3.39158774905946,,#5D3a9B
1.62208287037039,3.39158774905946,,#5D3a9B
-2.70706990546976,2.30448332578879,,#FFC20A
-2.73685566197989,2.25083538324703,,#FFC20A
-2.49728436544323,2.4857731811349,,#FFC20A
2.39823985062177,2.58191496249933,,#5D3a9B
3.15040370394411,1.82396477766984,,#5D3a9B
-2.67264063599909,2.29945520196631,,#FFC20A
1.33481530167706,3.63348544203793,,#5D3a9B
-3.07143970693359,1.8930830737343,,#FFC20A
-2.56786899907326,2.39373384560461,,#FFC20A
-2.31584419336862,2.61969577982764,,#FFC20A
-2.91829583405449,2.01220273103188,,#FFC20A
2.88659924454792,2.03422618400195,,#5D3a9B
2.88930438173297,2.02554239575932,,#5D3a9B
