ROI,X_position,Y_position,gene,gene_value,type,full_gene_name
D5761.(3).|.053.|.Full.ROI,8852,23021,Cryab,0.726784675647022,Cortical layer I,Cryab
D5761.(3).|.053.|.Full.ROI,8852,23021,Pde4a,-0.931095914206556,Cortical layer I,Pde4a
D5761.(3).|.053.|.Full.ROI,8852,23021,Cyb5a,-0.245355022094569,Cortical layer I,Cyb5a
D5761.(3).|.053.|.Full.ROI,8852,23021,Mllt11,-2.25869591311901,Cortical layer I,Mllt11
D5761.(3).|.053.|.Full.ROI,8852,23021,Dkk3,-0.909113952198445,Cortical layer I,Dkk3
D5761.(3).|.053.|.Full.ROI,8852,23021,Ighm,-0.752697076856568,Cortical layer I,Ighm
D5761.(3).|.053.|.Full.ROI,8852,23021,Dnajc16,-1.91880323911509,Cortical layer I,Dnajc16
D5761.(3).|.053.|.Full.ROI,8852,23021,Tppp,-2.13751107089147,Cortical layer I,Tppp
D5761.(3).|.053.|.Full.ROI,8852,23021,Gopc,-2.13434222609969,Cortical layer I,Gopc
D5761.(3).|.053.|.Full.ROI,8852,23021,Cltc,-2.24173684315087,Cortical layer I,Cltc
D5761.(3).|.053.|.Full.ROI,8852,23021,Pfn2,-2.18553514326755,Cortical layer I,Pfn2
D5761.(3).|.053.|.Full.ROI,8852,23021,Ap3s1,-2.10758264295196,Cortical layer I,Ap3s1
D5761.(3).|.053.|.Full.ROI,8852,23021,Pcmt1,-2.16546797963127,Cortical layer I,Pcmt1
D5761.(3).|.053.|.Full.ROI,8852,23021,Rab12,-2.19177589834474,Cortical layer I,Rab12
D5761.(3).|.053.|.Full.ROI,8852,23021,Gucy1b1,-0.854126719076367,Cortical layer I,Gucy1b1
D5761.(3).|.053.|.Full.ROI,8852,23021,Exd2,-0.749256020177826,Cortical layer I,Exd2
D5761.(3).|.053.|.Full.ROI,8852,23021,Slc12a5,-1.55700572994107,Cortical layer I,Slc12a5
D5761.(3).|.053.|.Full.ROI,8852,23021,Calm1,-1.90726579041419,Cortical layer I,Calm1
D5761.(3).|.053.|.Full.ROI,8852,23021,Gpr158,-1.39310245324939,Cortical layer I,Gpr158
D5761.(3).|.053.|.Full.ROI,8852,23021,Kcnip2,-1.14262676202398,Cortical layer I,Kcnip2
D5761.(3).|.053.|.Full.ROI,8852,23021,Tacc1,-1.87985792375388,Cortical layer I,Tacc1
D5761.(3).|.053.|.Full.ROI,8852,23021,Them6,-1.94034154889307,Cortical layer I,Them6
D5761.(3).|.053.|.Full.ROI,8852,23021,Rtn4,-1.93343972825223,Cortical layer I,Rtn4
D5761.(3).|.053.|.Full.ROI,8852,23021,Arhgef25,-2.11939673946257,Cortical layer I,Arhgef25
D5761.(3).|.053.|.Full.ROI,8852,23021,Stxbp5l,-1.28841394115903,Cortical layer I,Stxbp5l
D5761.(3).|.053.|.Full.ROI,8852,23021,Tbr1,-1.3206086309962,Cortical layer I,Tbr1
D5761.(3).|.053.|.Full.ROI,8852,23021,Ppp1r1b,-1.54827594281944,Cortical layer I,Ppp1r1b
D5761.(3).|.053.|.Full.ROI,8852,23021,Nptx1,-1.26747260607492,Cortical layer I,Nptx1
D5761.(3).|.053.|.Full.ROI,8852,23021,Tsnax,-1.16865025025787,Cortical layer I,Tsnax
D5761.(3).|.053.|.Full.ROI,8852,23021,Dock4,0.147125707289692,Cortical layer I,Dock4
D5761.(3).|.053.|.Full.ROI,8852,23021,Sipa1l1,0.234409634588376,Cortical layer I,Sipa1l1
D5761.(3).|.053.|.Full.ROI,8852,23021,Kcnh4,0.0430378473418371,Cortical layer I,Kcnh4
D5761.(3).|.053.|.Full.ROI,8852,23021,Kcnh5,-1.06081889331954,Cortical layer I,Kcnh5
D5761.(3).|.053.|.Full.ROI,8852,23021,Myo16,-0.974740752108547,Cortical layer I,Myo16
D5761.(3).|.053.|.Full.ROI,8852,23021,Cux1,-0.0657446912208486,Cortical layer I,Cux1
D5761.(3).|.053.|.Full.ROI,8852,23021,Cux2,0.213524685703145,Cortical layer I,Cux2
D5761.(3).|.053.|.Full.ROI,8852,23021,Ptn,0.609299424863641,Cortical layer I,Ptn
D5761.(3).|.053.|.Full.ROI,8852,23021,Plxnd1,0.547068249291904,Cortical layer I,Plxnd1
D5761.(3).|.053.|.Full.ROI,8852,23021,Nectin1,-1.1469705715581,Cortical layer I,Nectin1
D5761.(3).|.053.|.Full.ROI,8852,23021,Rilpl1,-0.258875742068041,Cortical layer I,Rilpl1
D5761.(3).|.053.|.Full.ROI,8852,23021,Npbwr1,2.15099072929811,Cortical layer I,Npbwr1
D5761.(3).|.053.|.Full.ROI,8852,23021,Tmem200a,1.55882461140545,Cortical layer I,Tmem200a
D5761.(3).|.053.|.Full.ROI,8852,23021,Ndrg2,1.97770715980467,Cortical layer I,Ndrg2
D5761.(3).|.053.|.Full.ROI,8852,23021,Ivd,1.33233235939948,Cortical layer I,Ivd
D5761.(3).|.053.|.Full.ROI,8852,23021,Lypd5,2.3686203447383,Cortical layer I,Lypd5
